Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
YI,"111, Inc.",9.9,n/a,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.73,$34.29M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",24.9,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,2.01,$62.55M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",12.98,$834.05M,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),20.14,$169.26M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,47.31,$1.23B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",10.27,$1.15B,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",52.51,$3.04B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
TPNL,"3PEA International, Inc.",3.82,$166.82M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl
JOBS,"51job, Inc.",65.88,$4.07B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
EGHT,8x8 Inc,18.03,$1.72B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AAON,"AAON, Inc.",42.94,$2.24B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,7.71,$369.64M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,3.67,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,2.99,$9.88M,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",337.86,$15.22B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.68,$280.08M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,8.66,$583.36M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",43.28,$1.75B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.19,$157.89M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",41.94,$3.7B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,18.86,$2.36B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",0.85,$66.41M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",14.49,$785.34M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,51.64,$2.39B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,26.32,$547.39M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,4.76,$412.5M,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",3.25,$201.2M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,24.18,$243.08M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACET,Aceto Corporation,1.73,$53.28M,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",2,$90.42M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao
ACHV,"Achieve Life Sciences, Inc. ",1.95,$13.11M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",2.72,$377.04M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",29.13,$3.38B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",9.86,$403.63M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",11.3,$179.46M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,38.95,$274.16M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",18.4,$875.07M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
ATVI,"Activision Blizzard, Inc",53.89,$41.12B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ADMS,"Adamas Pharmaceuticals, Inc.",11.46,$313.27M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,2.62,$123.9M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,6.32,$660.89M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,72.5,$949.63M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.35,$13.91M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,4.82,$141.07M,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADIL,"Adial Pharmaceuticals, Inc",1.41,$9.22M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.3,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
ADMA,ADMA Biologics Inc,5.16,$239.16M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADBE,Adobe Inc.,236.67,$115.53B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",0.528,$38.4M,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADTN,"ADTRAN, Inc.",13.45,$640.9M,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",3.58,$284.27M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
ADES,"Advanced Emissions Solutions, Inc.",10.03,$199.75M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",41.84,$1.61B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",19.03,$19.02B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",0.5272,$36.64M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
ADVM,"Adverum Biotechnologies, Inc.",3.71,$232.6M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,21.6,$2.7M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc
DWSH,AdvisorShares Dorsey Wright Short ETF,27.6902,$18M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh
ACT,AdvisorShares Vice ETF,25.31,$13.92M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
AEGN,Aegion Corp,19.45,$628.51M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",8.75,$192.46M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,1.93,$42.93M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.95,$19.33M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",44.65,$2.03B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",99.1,$2.37B,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav
ARPO,"Aerpio Pharmaceuticals, Inc.",1.88,$76.29M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo
AEZS,AEterna Zentaris Inc.,2.41,$39.62M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",1.16,$20.71M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",1.25,$80.96M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,3.85,$240.35M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,1.92,$230.37M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",0.9102,$31.29M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",16.36,$384.92M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",64.15,$3.73B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
AGMH,AGM Group Holdings Inc.,21,$447.64M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,17.76,$8.49B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.449,$8.82B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,25.5,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AGFS,"AgroFresh Solutions, Inc.",4.88,$246.14M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.24,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",1.82,$26.84M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",27.95,$1.64B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",38.85,$79.39M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",18.5,$1.09B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",12.55,$124.43M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,0.3327,$20.9M,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn
AKAM,"Akamai Technologies, Inc.",69.08,$11.25B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,1.89,$28.84M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",26.08,$2.33B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",7.73,$441.07M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc.,2.58,$30.35M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",6.73,$844.56M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",4.85,$143.68M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",47.19,$2.27B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",1.5,$79.78M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
ALACU,Alberton Acquisition Corporation,10.08,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu
ALBO,"Albireo Pharma, Inc.",24.37,$291.71M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,6.43,$87M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ALDR,"Alder BioPharmaceuticals, Inc.",13.21,$902.59M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",10.25,$214.99M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",118.6,$26.46B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",33.1,$271.42M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",217.29,$17.38B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1,$70.04M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
ALYA,Alithya Group inc.,3.85,$186.35M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya
ALJJ,"ALJ Regional Holdings, Inc.",1.61,$61.05M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,34.7,$5.39B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks
ALLK,Allakos Inc.,55.83,$2.35B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk
ABTX,"Allegiance Bancshares, Inc.",38.58,$515.72M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,121.89,$1.97B,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
ALGR,Allegro Merger Corp.,9.64,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr
ALGRR,Allegro Merger Corp.,0.38,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr
ALGRU,Allegro Merger Corp.,10.3,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru
ALGRW,Allegro Merger Corp.,0.35,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw
ALNA,"Allena Pharmaceuticals, Inc.",7.67,$159.24M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna
AMMA,"Alliance MMA, Inc.",0.2791,$4.15M,2016,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",19.61,$2.55B,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.14,$8.59M,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",46.34,$439.14M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",1.71,$8.56M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa
ALLO,"Allogene Therapeutics, Inc.",27.02,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo
ALLT,Allot Communications Ltd.,7.19,$242.41M,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",10.16,$1.78B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
ALNY,"Alnylam Pharmaceuticals, Inc.",67.92,$6.86B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,10.26,$244.06M,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1038.63,$722.33B,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1049.36,$729.79B,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,23.52,$23.52M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",2.99,$126.76M,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",5.18,$71.75M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn
AMR,"Alta Mesa Resources, Inc.",3.02,$1.16B,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr
AMRWW,"Alta Mesa Resources, Inc.",0.385,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww
AABA,Altaba Inc.,59.95,$36.13B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
ALTR,Altair Engineering Inc.,32.3,$2.27B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr
ALT,"Altimmune, Inc.",3.52,$14.5M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,22.84,$388.07M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,32.88,$2.12B,2006,n/a,n/a,https://www.nasdaq.com/symbol/aimc
ALZH,"Alzheon, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alzh
AMAG,"AMAG Pharmaceuticals, Inc.",17.98,$620.95M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag
AMAL,Amalgamated Bank,21.68,$688.81M,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal
AMRN,Amarin Corporation plc,19.82,$6.25B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",12.76,$89.72M,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",1636.85,$800.37B,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",18.53,$840.08M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",9.73,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",33.87,$1.09B,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,59.59,$3.37B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,66.37,$9.39B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox
AMED,Amedisys Inc,117.22,$3.74B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed
UHAL,Amerco,339.6,$6.66B,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal
AMRH,"Ameri Holdings, Inc.",0.26,$5.95M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.03,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw
ATAX,"America First Multifamily Investors, L.P.",5.82,$352.23M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",14,$46.23B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",36.86,$16.98B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
AETI,"American Electric Technologies, Inc.",0.613,$5.47M,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti
AFIN,"American Finance Trust, Inc.",13.11,$1.39B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin
AMNB,"American National Bankshares, Inc.",36.57,$318.69M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,125.63,$3.38B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,13.57,$738.06M,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc
APEI,"American Public Education, Inc.",32.91,$540.52M,2007,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",70.01,$1.34B,2006,Capital Goods,Railroads,https://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,15.02,$88.09M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",11.89,$367.48M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,9.35,$199.75M,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,60.42,$1.06B,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",73.93,$508.88M,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,44.39,$2.11B,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",64.53,$1.24B,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,4.3,$77.51M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,27.7407,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,27.53,$256.33M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,191.56,$122.07B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",10.11,$1.91B,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",6.51,$1.56B,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",21,$969.35M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph
IBUY,Amplify Online Retail ETF,44.32,$363.42M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibuy
ASYS,"Amtech Systems, Inc.",4.89,$73.29M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",14.26,$2.82B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",5.86,$295.25M,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs
ADI,"Analog Devices, Inc.",84.2,$31.29B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi
ANAB,"AnaptysBio, Inc.",70.6,$1.89B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab
AVXL,Anavex Life Sciences Corp.,2.52,$114.49M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/avxl
ANCB,Anchor Bancorp,25.91,$64.36M,2011,Finance,Banks,https://www.nasdaq.com/symbol/ancb
ANGI,ANGI Homeservices Inc.,17.69,$8.76B,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",21.1,$783.27M,2004,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ango
ANIP,"ANI Pharmaceuticals, Inc.",52.47,$622.17M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,35.54,$505.08M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/anik
ANIX,"Anixa Biosciences, Inc.",3.66,$68.43M,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/anix
ANSS,"ANSYS, Inc.",159.09,$13.29B,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",3.36,$529.34M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atrs
APLS,"Apellis Pharmaceuticals, Inc.",14.74,$828.07M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/apls
APOG,"Apogee Enterprises, Inc.",37.62,$1.06B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/apog
APEN,"Apollo Endosurgery, Inc.",3.95,$86.48M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/apen
AINV,Apollo Investment Corporation,5.32,$1.13B,2004,n/a,n/a,https://www.nasdaq.com/symbol/ainv
AMEH,"Apollo Medical Holdings, Inc.",18.25,$611.78M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ameh
APPF,"AppFolio, Inc.",57.97,$1.99B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appf
APPN,Appian Corporation,26.46,$1.68B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appn
AAPL,Apple Inc.,194.17,$921.41B,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",0.618,$5.24M,n/a,Consumer Services,Home Furnishings,https://www.nasdaq.com/symbol/arci
APDN,Applied DNA Sciences Inc,1.1,$33.12M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apdn
APDNW,Applied DNA Sciences Inc,0.1,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apdnw
